point,task,d_model,d_state,lr,seed,ablate,params,best_val,test_at_best,steps_to_best,stopped_step,alpha_mean,alpha_std
neither,sc,16,16,0.001,0,0,1146,0.127,0.1294,1000,2000,0.725,0.1428
neither,sc,16,16,0.001,1,0,1146,0.1304,0.1177,1400,1800,0.725,0.1428
neither,sc,16,16,0.001,2,0,1146,0.1304,0.1177,400,1400,0.725,0.1428
neither,sc,16,16,0.001,3,0,1146,0.1465,0.1284,1200,2200,0.725,0.1428
neither,sc,16,16,0.001,4,0,1146,0.127,0.1294,1000,1200,0.725,0.1428
neither,sc,16,16,0.003,0,0,1146,0.1304,0.1177,1200,1400,0.725,0.1428
neither,sc,16,16,0.003,1,0,1146,0.1465,0.1284,200,1200,0.725,0.1428
neither,sc,16,16,0.003,2,0,1146,0.1465,0.1284,400,1400,0.725,0.1428
neither,sc,16,16,0.003,3,0,1146,0.1465,0.1284,800,1800,0.725,0.1428
neither,sc,16,16,0.003,4,0,1146,0.1304,0.1177,800,1800,0.725,0.1428
neither,sc,16,16,0.01,0,0,1146,0.127,0.1294,1200,1200,0.725,0.1428
neither,sc,16,16,0.01,1,0,1146,0.1465,0.1284,200,1200,0.725,0.1428
neither,sc,16,16,0.01,2,0,1146,0.1465,0.1284,400,1400,0.725,0.1428
neither,sc,16,16,0.01,3,0,1146,0.1465,0.1284,1200,2200,0.725,0.1428
neither,sc,16,16,0.01,4,0,1146,0.127,0.1294,1200,1200,0.725,0.1428
neither,sc,32,16,0.001,0,0,3290,0.127,0.1294,1200,1400,0.725,0.1428
neither,sc,32,16,0.001,1,0,3290,0.1465,0.1284,200,1200,0.725,0.1428
neither,sc,32,16,0.001,2,0,3290,0.1304,0.1177,400,1400,0.725,0.1428
neither,sc,32,16,0.001,3,0,3290,0.1465,0.1284,1200,2200,0.725,0.1428
neither,sc,32,16,0.001,4,0,3290,0.1465,0.1284,1200,2200,0.725,0.1428
neither,sc,32,16,0.003,0,0,3290,0.127,0.1294,1200,1400,0.725,0.1428
neither,sc,32,16,0.003,1,0,3290,0.1465,0.1284,200,1200,0.725,0.1428
neither,sc,32,16,0.003,2,0,3290,0.1304,0.1177,600,1600,0.725,0.1428
neither,sc,32,16,0.003,3,0,3290,0.1465,0.1284,200,1200,0.725,0.1428
neither,sc,32,16,0.003,4,0,3290,0.1465,0.1284,1200,2200,0.725,0.1428
neither,sc,32,16,0.01,0,0,3290,0.1465,0.1284,200,1200,0.725,0.1428
neither,sc,32,16,0.01,1,0,3290,0.1465,0.1284,200,1200,0.725,0.1428
neither,sc,32,16,0.01,2,0,3290,0.1304,0.1177,400,1400,0.725,0.1428
neither,sc,32,16,0.01,3,0,3290,0.1465,0.1284,200,1200,0.725,0.1428
neither,sc,32,16,0.01,4,0,3290,0.1304,0.1177,800,1800,0.725,0.1428
neither,sc,48,16,0.001,0,0,6458,0.1304,0.1177,1200,2200,0.725,0.1428
neither,sc,48,16,0.001,1,0,6458,0.1465,0.1284,200,1200,0.725,0.1428
neither,sc,48,16,0.001,2,0,6458,0.1304,0.1177,600,1600,0.725,0.1428
neither,sc,48,16,0.001,3,0,6458,0.1465,0.1284,800,1800,0.725,0.1428
