model,d_model,d_state,lr,seed,params,best_val_acc,steps_to_best
rich,16,4,0.01,0,1006,0.2891,1200
rich,16,4,0.01,1,1006,0.3311,1200
rich,16,4,0.01,2,1006,0.2769,1200
rich,16,8,0.01,0,1138,0.4399,1200
rich,16,8,0.01,1,1138,0.396,1200
rich,16,8,0.01,2,1138,0.4399,1200
rich,16,16,0.01,0,1402,0.522,1200
rich,16,16,0.01,1,1402,0.3325,1200
rich,16,16,0.01,2,1402,0.5479,1200
rich,32,4,0.01,0,3022,0.3242,1200
rich,32,4,0.01,1,3022,0.314,1000
rich,32,4,0.01,2,3022,0.3687,1200
rich,32,8,0.01,0,3282,0.5156,1200
rich,32,8,0.01,1,3282,0.5107,1200
rich,32,8,0.01,2,3282,0.5176,1200
rich,32,16,0.01,0,3802,0.6455,1200
rich,32,16,0.01,1,3802,0.5737,1200
rich,32,16,0.01,2,3802,0.6025,1200
rich,48,4,0.01,0,6062,0.3672,1200
rich,48,4,0.01,1,6062,0.3052,1000
rich,48,4,0.01,2,6062,0.3364,1200
rich,48,8,0.01,0,6450,0.5083,1200
rich,48,8,0.01,1,6450,0.5288,1200
rich,48,8,0.01,2,6450,0.5527,1200
rich,48,16,0.01,0,7226,0.625,1200
rich,48,16,0.01,1,7226,0.6138,1200
rich,48,16,0.01,2,7226,0.6436,1200
rich,64,4,0.01,0,10126,0.3691,1200
rich,64,4,0.01,1,10126,0.3423,1200
rich,64,4,0.01,2,10126,0.3452,1200
rich,64,8,0.01,0,10642,0.5215,1000
rich,64,8,0.01,1,10642,0.5312,1200
rich,64,8,0.01,2,10642,0.5459,1200
rich,64,16,0.01,0,11674,0.6406,1200
rich,64,16,0.01,1,11674,0.6582,1200
rich,64,16,0.01,2,11674,0.6631,1200
rich,96,4,0.01,0,21326,0.3315,1000
rich,96,4,0.01,1,21326,0.3169,1200
rich,96,4,0.01,2,21326,0.332,800
rich,96,8,0.01,0,22098,0.5361,1200
rich,96,8,0.01,1,22098,0.5117,1200
rich,96,8,0.01,2,22098,0.5518,1200
rich,96,16,0.01,0,23642,0.6577,1200
rich,96,16,0.01,1,23642,0.6987,1200
rich,96,16,0.01,2,23642,0.686,1200
rich,128,4,0.01,0,36622,0.4097,1200
rich,128,4,0.01,1,36622,0.3325,1000
rich,128,4,0.01,2,36622,0.2998,1200
rich,128,8,0.01,0,37650,0.5991,1200
rich,128,8,0.01,1,37650,0.5474,1200
rich,128,8,0.01,2,37650,0.5029,1200
rich,128,16,0.01,0,39706,0.7085,1200
rich,128,16,0.01,1,39706,0.6777,1200
rich,128,16,0.01,2,39706,0.7124,1200
B1,16,4,0.003,0,1250,0.2939,1200
B1,16,4,0.003,1,1250,0.3657,1200
B1,16,4,0.003,2,1250,0.248,1200
B1,16,8,0.003,0,1386,0.3237,1200
B1,16,8,0.003,1,1386,0.3564,1200
B1,16,8,0.003,2,1386,0.3594,1200
B1,16,16,0.003,0,1658,0.4697,1200
B1,16,16,0.003,1,1658,0.3979,1200
B1,16,16,0.003,2,1658,0.4062,1200
B1,32,4,0.003,0,4018,0.3105,1000
B1,32,4,0.003,1,4018,0.2739,1200
